p_s p_d d k L L2 K1 K2 E_S E_D E_I f_A_orig f_A_mut
0.05 0.05 0.05 21 100000 99921 99980 99901 4657 4873 3834 39983 38098
0.05 0.05 0.05 21 100000 99742 99980 99722 4640 4797 3745 39983 38216
0.05 0.05 0.05 21 100000 100041 99980 100021 4647 4818 3948 39983 38284
0.05 0.05 0.05 21 100000 100068 99980 100048 4961 4767 4123 39983 38293
0.05 0.05 0.05 21 100000 99858 99980 99838 4667 4753 3985 39983 38175
0.05 0.05 0.1 21 100000 104839 99980 104819 1861 1950 3168 39983 39377
0.05 0.05 0.1 21 100000 105225 99980 105205 1784 1793 2903 39983 39621
0.05 0.05 0.1 21 100000 105112 99980 105092 1756 1968 2895 39983 39529
0.05 0.05 0.1 21 100000 104907 99980 104887 1771 1937 2982 39983 39365
0.05 0.05 0.1 21 100000 105110 99980 105090 1707 1911 2888 39983 39499
0.05 0.1 0.01 21 100000 91063 99980 91043 3355 6951 519 39983 35173
0.05 0.1 0.01 21 100000 91214 99980 91194 3434 7310 579 39983 35308
0.05 0.1 0.01 21 100000 91055 99980 91035 2973 6817 551 39983 35263
0.05 0.1 0.01 21 100000 90950 99980 90930 3059 6536 645 39983 35128
0.05 0.1 0.01 21 100000 91026 99980 91006 3454 6775 512 39983 35159
0.05 0.1 0.05 21 100000 95035 99980 95015 1506 3145 1159 39983 36064
0.05 0.1 0.05 21 100000 94718 99980 94698 1361 3135 1209 39983 36206
0.05 0.1 0.05 21 100000 95113 99980 95093 1447 3029 1152 39983 36261
0.05 0.1 0.05 21 100000 94855 99980 94835 1582 3102 1205 39983 36199
0.05 0.1 0.05 21 100000 94812 99980 94792 1461 3017 1193 39983 36223
0.05 0.1 0.1 21 100000 99953 99980 99933 567 1202 1001 39983 37343
0.05 0.1 0.1 21 100000 100307 99980 100287 542 1200 962 39983 37664
0.05 0.1 0.1 21 100000 100106 99980 100086 488 1129 875 39983 37534
0.05 0.1 0.1 21 100000 99865 99980 99845 606 1257 919 39983 37371
0.05 0.1 0.1 21 100000 100194 99980 100174 550 1223 863 39983 37577
0.1 0.01 0.01 21 100000 99972 99980 99952 16531 1756 1341 39983 37705
0.1 0.01 0.01 21 100000 100046 99980 100026 15672 1631 1270 39983 37824
0.1 0.01 0.01 21 100000 100079 99980 100059 16654 1632 1496 39983 37874
0.1 0.01 0.01 21 100000 99950 99980 99930 16675 1772 1449 39983 37866
0.1 0.01 0.01 21 100000 99901 99980 99881 16644 1761 1184 39983 37811
0.1 0.01 0.05 21 100000 103944 99980 103924 7380 783 2954 39983 38644
0.1 0.01 0.05 21 100000 104152 99980 104132 7823 756 3146 39983 38983
0.1 0.01 0.05 21 100000 104111 99980 104091 7684 661 2882 39983 38779
0.1 0.01 0.05 21 100000 103921 99980 103901 7679 825 2994 39983 38926
0.1 0.01 0.05 21 100000 104015 99980 103995 7857 771 3012 39983 38812
0.1 0.01 0.1 21 100000 108862 99980 108842 2954 284 2422 39983 39999
0.1 0.01 0.1 21 100000 109159 99980 109139 2919 279 2367 39983 40116
0.1 0.01 0.1 21 100000 109182 99980 109162 3062 236 2225 39983 40018
0.1 0.01 0.1 21 100000 109074 99980 109054 3094 318 2298 39983 40165
0.1 0.01 0.1 21 100000 108882 99980 108862 2834 310 2501 39983 40155
0.1 0.05 0.01 21 100000 96105 99980 96085 6972 3334 519 39983 36110
0.1 0.05 0.01 21 100000 95990 99980 95970 6327 3218 542 39983 36201
0.1 0.05 0.01 21 100000 96065 99980 96045 6545 3233 566 39983 36220
0.1 0.05 0.01 21 100000 95806 99980 95786 6561 3416 574 39983 36210
0.1 0.05 0.01 21 100000 95918 99980 95898 6728 3305 465 39983 36268
0.1 0.05 0.05 21 100000 100077 99980 100057 3140 1511 1159 39983 37049
0.1 0.05 0.05 21 100000 100231 99980 100211 3377 1474 1250 39983 37427
0.1 0.05 0.05 21 100000 100098 99980 100078 2991 1405 1067 39983 37114
0.1 0.05 0.05 21 100000 99746 99980 99726 3009 1593 1155 39983 37249
0.1 0.05 0.05 21 100000 100044 99980 100024 3101 1447 1157 39983 37220
0.1 0.05 0.1 21 100000 104995 99980 104975 1202 567 1001 39983 38404
0.1 0.05 0.1 21 100000 105231 99980 105211 1151 584 972 39983 38535
0.1 0.05 0.1 21 100000 105171 99980 105151 1172 529 835 39983 38444
0.1 0.05 0.1 21 100000 104889 99980 104869 1238 629 820 39983 38525
0.1 0.05 0.1 21 100000 104923 99980 104903 1186 567 1079 39983 38598
0.1 0.1 0.01 21 100000 91198 99980 91178 2234 2040 176 39983 34165
0.1 0.1 0.01 21 100000 91045 99980 91025 1818 1937 130 39983 34268
0.1 0.1 0.01 21 100000 91147 99980 91127 1979 2050 132 39983 34245
0.1 0.1 0.01 21 100000 90857 99980 90837 2105 2056 154 39983 34277
0.1 0.1 0.01 21 100000 91021 99980 91001 1987 2102 111 39983 34323
0.1 0.1 0.05 21 100000 95170 99980 95150 1079 993 342 39983 35104
0.1 0.1 0.05 21 100000 95089 99980 95069 1046 894 414 39983 35388
0.1 0.1 0.05 21 100000 95171 99980 95151 891 999 290 39983 35180
0.1 0.1 0.05 21 100000 94777 99980 94757 933 1005 292 39983 35316
0.1 0.1 0.05 21 100000 95031 99980 95011 941 830 297 39983 35196
0.1 0.1 0.1 21 100000 100088 99980 100068 396 407 275 39983 36459
0.1 0.1 0.1 21 100000 100092 99980 100072 411 348 268 39983 36455
0.1 0.1 0.1 21 100000 100243 99980 100223 331 400 193 39983 36439
0.1 0.1 0.1 21 100000 99966 99980 99946 322 340 212 39983 36598
0.1 0.1 0.1 21 100000 100039 99980 100019 309 438 356 39983 36652
0.01 0.01 0.01 21 1000000 1000102 999980 1000082 115537 114603 105264 399295 395866
0.01 0.01 0.01 21 1000000 999865 999980 999845 115941 115928 104890 399295 395894
0.01 0.01 0.01 21 1000000 1000364 999980 1000344 116656 111789 106504 399295 396083
0.01 0.01 0.01 21 1000000 999919 999980 999899 113784 115546 107970 399295 395938
0.01 0.01 0.01 21 1000000 999941 999980 999921 114152 115141 106212 399295 395782
0.01 0.01 0.05 21 1000000 1039946 999980 1039926 52681 53621 234087 399295 405720
0.01 0.01 0.05 21 1000000 1039672 999980 1039652 53793 53094 234221 399295 405922
0.01 0.01 0.05 21 1000000 1040494 999980 1040474 53282 50903 236324 399295 405858
0.01 0.01 0.05 21 1000000 1039712 999980 1039692 53801 53423 234473 399295 405541
0.01 0.01 0.05 21 1000000 1039557 999980 1039537 53171 53585 234011 399295 405693
