p_s p_d d S D I K1 K2 k S_k_half S_norm D_norm, I_norm
0.01 0.02 0.02 840 1256 1406 9980 10003 21 739 0.004008016032064128 0.0059929382574673154 0.0070440881763527054
0.01 0.02 0.02 629 1617 1461 9980 9977 21 545 0.003001240576390877 0.007715430861723447 0.007319639278557114
0.01 0.02 0.02 711 1397 1693 9980 10007 21 607 0.0033924992842828514 0.006665712377135223 0.008481963927855711
0.01 0.02 0.02 748 1445 1357 9980 9985 21 642 0.0035690428475999617 0.006894741864681745 0.006798597194388778
0.01 0.02 0.02 811 1858 1291 9980 9977 21 666 0.0038696440500047714 0.008865349747113274 0.006467935871743487
0.01 0.02 0.03 524 1289 1741 9980 10102 21 632 0.002500238572382861 0.006150396030155549 0.008722444889779558
0.01 0.02 0.03 734 1372 1533 9980 10073 21 667 0.003502242580398893 0.0065464261857047425 0.007680360721442886
0.01 0.02 0.03 731 1447 1774 9980 10074 21 640 0.0034879282374272354 0.006904284759996182 0.008887775551102204
0.01 0.02 0.03 542 1170 1847 9980 10109 21 616 0.0025861246302128064 0.005582593758946464 0.009253507014028056
0.01 0.02 0.03 712 1232 1578 9980 10097 21 644 0.0033972707319400706 0.005878423513694055 0.007905811623246493
0.01 0.02 0.03 666 1354 1631 9980 10083 21 593 0.0031777841397079873 0.006460540127874797 0.008171342685370741
0.01 0.02 0.03 583 1334 1938 9980 10078 21 553 0.0027817539841587936 0.006365111174730413 0.00970941883767535
0.01 0.02 0.03 684 1261 1639 9980 10090 21 693 0.003263670197537933 0.0060167954957534115 0.008211422845691383
0.01 0.02 0.03 578 1104 1808 9980 10122 21 563 0.002757896745872698 0.005267678213569997 0.00905811623246493
0.01 0.02 0.03 578 1277 1724 9980 10051 21 528 0.002757896745872698 0.006093138658268919 0.008637274549098196
0.01 0.02 0.03 748 1192 1391 9980 10065 21 724 0.0035690428475999617 0.005687565607405287 0.006968937875751503
0.01 0.02 0.03 682 1250 1721 9980 10063 21 685 0.003254127302223495 0.005964309571524 0.008622244488977956
0.01 0.02 0.03 763 1158 1710 9980 10072 21 691 0.00364061456245825 0.005525336387059834 0.008567134268537073
0.01 0.02 0.03 686 1229 1931 9980 10125 21 584 0.0032732130928523713 0.005864109170722397 0.009674348697394789
