p_s,p_d,d,S,D,I,K1,k,S_norm,D_norm,I_norm,a,b,c
0.05,0.1,0.07,96,179,42,9980,21,0.000458059,0.000854089,0.000210421,3.64391E-65,0.000854089,0.001522569
0.05,0.1,0.08,92,157,57,9980,21,0.000438973,0.000749117,0.000285571,2.32031E-66,0.000749117,0.001473662
0.05,0.1,0.09,88,93,46,9980,21,0.000419887,0.000443745,0.000230461,3.88862E-71,0.000443745,0.001094093
0.05,0.1,0.1,80,68,49,9980,21,0.000381716,0.000324458,0.000245491,5.42426E-74,0.000324458,0.000951665
0.06,0.01,0.01,2229,423,295,9980,21,0.010635557,0.002018322,0.001477956,2.53981E-57,0.002018322,0.014131835
0.06,0.01,0.02,1647,323,523,9980,21,0.007858574,0.001541178,0.00262024,8.80859E-60,0.001541178,0.012019992
0.06,0.01,0.03,1329,307,606,9980,21,0.006341254,0.001464834,0.003036072,3.03081E-60,0.001464834,0.010842161
0.06,0.01,0.04,1076,277,575,9980,21,0.005134078,0.001321691,0.002880762,3.49727E-61,0.001321691,0.00933653
0.06,0.01,0.05,906,211,586,9980,21,0.004322932,0.001006775,0.002935872,1.15235E-63,0.001006775,0.008265579
0.06,0.01,0.06,732,165,554,9980,21,0.0034927,0.000787289,0.002775551,6.58895E-66,0.000787289,0.00705554
0.06,0.01,0.07,580,131,516,9980,21,0.00276744,0.00062506,0.00258517,5.18025E-68,0.00062506,0.00597767
0.06,0.01,0.08,522,114,485,9980,21,0.002490696,0.000543945,0.00242986,2.79676E-69,0.000543945,0.0054645
0.06,0.01,0.09,414,69,459,9980,21,0.001975379,0.00032923,0.002299599,7.37029E-74,0.00032923,0.004604208
0.06,0.01,0.1,364,57,401,9980,21,0.001736807,0.000271973,0.002009018,1.3336E-75,0.000271973,0.004017797
0.06,0.02,0.01,1785,685,200,9980,21,0.008517034,0.003268442,0.001002004,6.32638E-53,0.003268442,0.01278748
0.06,0.02,0.02,1290,491,397,9980,21,0.006155167,0.002342781,0.001988978,5.81252E-56,0.002342781,0.010486926
0.06,0.02,0.03,1024,451,459,9980,21,0.004885962,0.002151923,0.002299599,9.758E-57,0.002151923,0.009337484
0.06,0.02,0.04,854,414,429,9980,21,0.004074816,0.001975379,0.002149299,1.61682E-57,0.001975379,0.008199494
0.06,0.02,0.05,717,327,409,9980,21,0.003421128,0.001560263,0.002049098,1.14066E-59,0.001560263,0.00703049
0.06,0.02,0.06,588,284,401,9980,21,0.002805611,0.001355091,0.002009018,5.90661E-61,0.001355091,0.00616972
0.06,0.02,0.07,472,231,362,9980,21,0.002252123,0.001102204,0.001813627,7.718E-63,0.001102204,0.005167955
0.06,0.02,0.08,424,210,375,9980,21,0.002023094,0.001002004,0.001878758,1.04294E-63,0.001002004,0.004903855
0.06,0.02,0.09,344,151,342,9980,21,0.001641378,0.000720489,0.001713427,1.02369E-66,0.000720489,0.004075293
